Source.Name;joueur;Position;Club;Numéro;Âge;Taille;Valeur de transfert
australie.csv;Aiden O'NeillBlessure à la jambe - Mi juin 2026;;;;;;
australie.csv;;MD, DC, MC;New York City FC;15;25;179 cm;1 M €
australie.csv;;;;;;;
australie.csv;Kai Trewin;;;;;;
australie.csv;;MD, MC;St. Pauli;22;33;180 cm;1,2 M €
australie.csv;;;;;;;
australie.csv;Jackson Irvine;;;;;;
australie.csv;;MD, MC;Sydney FC;24;21;186 cm;788 k €
australie.csv;;;;;;;
australie.csv;Paul Okon-Engstler;;;;;;
australie.csv;;MC, MD;Melbourne City FC;7;35;181 cm;151,2 k €
australie.csv;;;;;;;
australie.csv;Matthew Leckie;;;;;;
australie.csv;;MC, MD, MO;Heracles;10;29;183 cm;340,9 k €
australie.csv;;;;;;;
australie.csv;Ajdin Hrustic;;;;;;
australie.csv;;MC, MD;Hearts;14;27;170 cm;2,3 M €
australie.csv;;;;;;;
australie.csv;Cameron Devlin;;;;;;
australie.csv;;MD, ATT, MG, AG;Watford;17;20;175 cm;11,1 M €
australie.csv;;;;;;;
australie.csv;Nestory Irankunda;;;;;;
australie.csv;;MO, DLG, DLD, MG, AG;Grazer AK;4;24;177 cm;325,2 k €
australie.csv;;;;;;;
australie.csv;Jacob Italiano;;;;;;
australie.csv;;MO, MD, MG, MD;St. Pauli;8;26;178 cm;1,2 M €
australie.csv;;;;;;;
australie.csv;Connor Metcalfe;;;;;;
australie.csv;;AD, MD;Castellon;11;30;179 cm;341,3 k €
australie.csv;;;;;;;
australie.csv;Awer Mabil;;;;;;
australie.csv;;AD;Sassuolo;20;22;187 cm;12,7 M €
australie.csv;;;;;;;
australie.csv;Cristian Volpato;;;;;;
australie.csv;;AD, AG;Melbourne Victory;23;25;181 cm;312,5 k €
australie.csv;;;;;;;
australie.csv;Nishan Velupillay;;;;;;
australie.csv;;ATT;Norwich City;9;22;186 cm;2,1 M €
australie.csv;;;;;;;
australie.csv;Mohamed Touré;;;;;;
australie.csv;;ATT, AG;Machida Zelvia;26;25;197 cm;397 k €
australie.csv;;;;;;;
australie.csv;Tete Yengi;;;;;;
autriche.csv;;Entraineur;Allemagne;;67;;
autriche.csv;;;;;;;
autriche.csv;Ralf Rangnick;;;;;;
autriche.csv;;GA;Salzburg;1;30;184 cm;1,5 M €
autriche.csv;;;;;;;
autriche.csv;Alexander Schlager;;;;;;
autriche.csv;;GA;Viktoria Plzen;12;25;205 cm;783,6 k €
autriche.csv;;;;;;;
autriche.csv;Florian Wiegele;;;;;;
autriche.csv;;GA;Brøndby IF;13;29;182 cm;1,5 M €
autriche.csv;;;;;;;
autriche.csv;Patrick Pentz;;;;;;
autriche.csv;;DD, DG, MD;Bayern München;20;29;180 cm;33,6 M €
autriche.csv;;;;;;;
autriche.csv;Konrad Laimer;;;;;;
autriche.csv;;DC;Elche;2;25;185 cm;10,2 M €
autriche.csv;;;;;;;
autriche.csv;David Affengruber;;;;;;
autriche.csv;;DC;Tottenham Hotspur;3;27;190 cm;23,9 M €
autriche.csv;;;;;;;
autriche.csv;Kevin Danso;;;;;;
autriche.csv;;DC, DD;Mainz 05;5;29;190 cm;5,2 M €
autriche.csv;;;;;;;
autriche.csv;Stefan Posch;;;;;;
autriche.csv;;DC;Real Madrid;8;33;180 cm;1,7 M €
autriche.csv;;;;;;;
autriche.csv;David Alaba;;;;;;
autriche.csv;;DC;Freiburg;15;29;185 cm;6,9 M €
autriche.csv;;;;;;;
autriche.csv;Philipp Lienhart;;;;;;
autriche.csv;;DC, DG;Werder Bremen;23;28;187 cm;13,3 M €
autriche.csv;;;;;;;
autriche.csv;Marco Friedl;;;;;;
autriche.csv;;DC;Venezia;25;27;195 cm;1,7 M €
autriche.csv;;;;;;;
autriche.csv;Michael Svoboda;;;;;;
autriche.csv;;MD, MC, AG, MO;Borussia Dortmund;9;32;177 cm;5 M €
autriche.csv;;;;;;;
autriche.csv;Marcel Sabitzer;;;;;;
autriche.csv;;MD, MO, MC, MD;PSV Eindhoven;24;20;185 cm;22,5 M €
autriche.csv;;;;;;;
autriche.csv;Paul Wanner;;;;;;
autriche.csv;;MD, MC;Wolfsberger AC;26;32;178 cm;393,3 k €
autriche.csv;;;;;;;
autriche.csv;Alessandro Schöpf;;;;;;
autriche.csv;;MC, MD;RB Leipzig;4;28;174 cm;5,9 M €
autriche.csv;;;;;;;
autriche.csv;Xaver Schlager;;;;;;
autriche.csv;;MC, MD, DC;RB Leipzig;6;25;179 cm;22,9 M €
autriche.csv;;;;;;;
autriche.csv;Nicolas Seiwald;;;;;;
autriche.csv;;MC, MD;Braga;10;30;187 cm;1,4 M €
autriche.csv;;;;;;;
autriche.csv;Florian Grillitsch;;;;;;
autriche.csv;;MC, MO, AD;RB Leipzig;19;26;178 cm;16,6 M €
autriche.csv;;;;;;;
autriche.csv;Christoph BaumgartnerBlessure à la cuisse - Début juillet 2026;;;;;;
autriche.csv;;MG, DLG, DG, DLD;Mainz 05;16;32;168 cm;1,1 M €
autriche.csv;;;;;;;
autriche.csv;Phillipp Mwene;;;;;;
autriche.csv;;MG, AG, AD;Hoffenheim;22;25;180 cm;8 M €
autriche.csv;;;;;;;
autriche.csv;Alexander Prass;;;;;;
autriche.csv;;MO;Borussia Dortmund;17;22;188 cm;23,9 M €
autriche.csv;;;;;;;
autriche.csv;Carney Chukwuemeka;;;;;;
autriche.csv;;MO, AD, MC, AG, MG;Werder Bremen;18;26;167 cm;14,3 M €
autriche.csv;;;;;;;
autriche.csv;Romano Schmid;;;;;;
autriche.csv;;AG, AD, MC, MO;Hoffenheim;21;25;182 cm;14,7 M €
autriche.csv;;;;;;;
autriche.csv;Patrick Wimmer;;;;;;
autriche.csv;;ATT;FK Crvena Zvezda;7;37;192 cm;1,6 M €
autriche.csv;;;;;;;
autriche.csv;Marko Arnautovic;;;;;;
autriche.csv;;ATT, MO;Augsburg;11;32;190 cm;1,4 M €
autriche.csv;;;;;;;
autriche.csv;Michael Gregoritsch;;;;;;
autriche.csv;;ATT, MO;LASK;14;28;200 cm;1,5 M €
autriche.csv;;;;;;;
autriche.csv;Sasa Kalajdzic;;;;;;
belgique.csv;;Entraineur;France;;62;;
belgique.csv;;;;;;;
belgique.csv;Rudi Garcia;;;;;;
belgique.csv;;GA;Real Madrid;1;34;199 cm;11,5 M €
belgique.csv;;;;;;;
belgique.csv;Thibaut Courtois;;;;;;
belgique.csv;;GA;Manchester United;12;23;193 cm;17,5 M €
belgique.csv;;;;;;;
belgique.csv;Senne Lammens;;;;;;
belgique.csv;;GA;Strasbourg;13;20;200 cm;20,6 M €
belgique.csv;;;;;;;
belgique.csv;Mike Penders;;;;;;
belgique.csv;;DD;Lille;15;34;190 cm;1,3 M €
belgique.csv;;;;;;;
belgique.csv;Thomas Meunier;;;;;;
belgique.csv;;DD, DLD, AD, DG;Fulham;21;30;185 cm;11,5 M €
belgique.csv;;;;;;;
belgique.csv;Timothy Castagne;;;;;;
belgique.csv;;DC;Sporting CP;2;22;189 cm;35,6 M €
belgique.csv;;;;;;;
belgique.csv;Zeno DebastBlessure à la jambe - Inconnu;;;;;;
belgique.csv;;DC, DG;Eintracht Frankfurt;3;26;186 cm;22,7 M €
belgique.csv;;;;;;;
belgique.csv;Arthur Theate;;;;;;
belgique.csv;;DC;Club Brugge;4;33;188 cm;2,2 M €
belgique.csv;;;;;;;
belgique.csv;Brandon Mechele;;;;;;
belgique.csv;;DC;Milan;16;23;188 cm;23,4 M €
belgique.csv;;;;;;;
belgique.csv;Koni De Winter;;;;;;
belgique.csv;;DC;Lille;25;22;183 cm;12 M €
belgique.csv;;;;;;;
belgique.csv;Nathan Ngoy;;;;;;
belgique.csv;;DG, AG, DLG;Brighton & Hove Albion;5;25;183 cm;25 M €
belgique.csv;;;;;;;
belgique.csv;Maxim De Cuyper;;;;;;
belgique.csv;;DG, DD;Club Brugge;18;21;178 cm;20,3 M €
belgique.csv;;;;;;;
belgique.csv;Joaquin Seys;;;;;;
belgique.csv;;MD, MC;Girona;6;37;186 cm;1,2 M €
belgique.csv;;;;;;;
belgique.csv;Axel Witsel;;;;;;
belgique.csv;;MD, MO, MC;Aston Villa;8;29;177 cm;39,1 M €
belgique.csv;;;;;;;
belgique.csv;Youri Tielemans;;;;;;
belgique.csv;;MD, MC;Rangers;23;25;179 cm;12,2 M €
belgique.csv;;;;;;;
belgique.csv;Nicolas Raskin;;;;;;
belgique.csv;;MD;Aston Villa;24;24;195 cm;51,8 M €
belgique.csv;;;;;;;
belgique.csv;Amadou Onana;;;;;;
belgique.csv;;MD, AD, MO;Milan;22;26;180 cm;22,9 M €
belgique.csv;;;;;;;
belgique.csv;Alexis Saelemaekers;;;;;;
belgique.csv;;MO, MC;Napoli;7;34;181 cm;11,3 M €
belgique.csv;;;;;;;
belgique.csv;Kevin De Bruyne;;;;;;
belgique.csv;;MO, ATT, AD, AG;Atalanta;17;25;192 cm;44 M €
belgique.csv;;;;;;;
belgique.csv;Charles De Ketelaere;;;;;;
belgique.csv;;MO, MC, MD;Club Brugge;20;33;194 cm;4,7 M €
belgique.csv;;;;;;;
belgique.csv;Hans Vanaken;;;;;;
belgique.csv;;AD, DLG, MD, MG, MO, AG;Strasbourg;19;21;179 cm;20 M €
belgique.csv;;;;;;;
belgique.csv;Diego Moreira;;;;;;
belgique.csv;;AD;Benfica;14;28;187 cm;21,8 M €
belgique.csv;;;;;;;
belgique.csv;Dodi Lukébakio;;;;;;
belgique.csv;;AG, ATT, AD;Arsenal;10;31;175 cm;17 M €
belgique.csv;;;;;;;
belgique.csv;Leandro Trossard;;;;;;
belgique.csv;;AG, AD, MO;Manchester City;11;24;171 cm;78,1 M €
belgique.csv;;;;;;;
belgique.csv;Jérémy Doku;;;;;;
belgique.csv;;ATT;Napoli;9;33;190 cm;10,8 M €
belgique.csv;;;;;;;
belgique.csv;Romelu Lukaku;;;;;;
belgique.csv;;ATT, AG, AD;Lille;26;21;183 cm;26,4 M €
belgique.csv;;;;;;;
belgique.csv;Matias Fernandez-Pardo;;;;;;
bosnie_herzegovine.csv;;Entraineur;Bosnie-Herzégovine;;54;188 cm;
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Sergej Barbarez;;;;;;
bosnie_herzegovine.csv;;GA;St. Pauli;1;30;194 cm;2,4 M €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Nikola Vasilj;;;;;;
bosnie_herzegovine.csv;;GA;Slaven;12;30;186 cm;710 k €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Osman HadzikicInconfort physique - Quelques jours;;;;;;
bosnie_herzegovine.csv;;GA;Rijeka;22;27;190 cm;1,5 M €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Martin Zlomislic;;;;;;
bosnie_herzegovine.csv;;DD;Benfica;7;23;180 cm;18,7 M €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Amar Dedic;;;;;;
bosnie_herzegovine.csv;;DC, DG;Gaziantep FK;2;28;189 cm;1,1 M €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Nihad Mujakic;;;;;;
bosnie_herzegovine.csv;;DC;Sampdoria;3;27;186 cm;816,2 k €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Dennis Hadzikadunic;;;;;;
bosnie_herzegovine.csv;;DC;Sassuolo;4;23;187 cm;16,2 M €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Tarik Muharemovic;;;;;;
bosnie_herzegovine.csv;;DC, DG;Atalanta;5;32;183 cm;2,6 M €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Sead Kolasinac;;;;;;
bosnie_herzegovine.csv;;DC;Schalke 04;18;29;194 cm;1,2 M €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Nikola Katic;;;;;;
bosnie_herzegovine.csv;;DC;Rijeka;21;28;201 cm;1,4 M €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Stjepan Radeljic;;;;;;
bosnie_herzegovine.csv;;DC;Lens;24;19;192 cm;4,5 M €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Nidal Celik;;;;;;
bosnie_herzegovine.csv;;DLD, DD, AD, MD, DC, MG, DLG, AG;Viktoria Plzen;15;25;176 cm;2,5 M €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Amar Memic;;;;;;
bosnie_herzegovine.csv;;MD, MC, ATT, MO, MG;Young Boys;8;24;187 cm;2,4 M €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Armin Gigovic;;;;;;
bosnie_herzegovine.csv;;MD, MC, MO, DC;Pafos FC;14;29;184 cm;832,7 k €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Ivan Sunjic;;;;;;
bosnie_herzegovine.csv;;MD, MO;Hull City;16;29;179 cm;2,4 M €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Amir Hadziahmetovic;;;;;;
bosnie_herzegovine.csv;;MC, MD;Brøndby IF;6;23;191 cm;5 M €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Benjamin Tahirovic;;;;;;
bosnie_herzegovine.csv;;MC;FC Astana;13;24;178 cm;819 k €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Ivan Basic;;;;;;
bosnie_herzegovine.csv;;MC, DC, DG, MD;Karlsruher SC;17;28;183 cm;582,5 k €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Dzenis Burnic;;;;;;
bosnie_herzegovine.csv;;MO, AG;Slovan Liberec;26;21;182 cm;1,2 M €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Ermin Mahmic;;;;;;
bosnie_herzegovine.csv;;AD, MD, ATT;PSV Eindhoven;20;21;175 cm;6,5 M €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Esmir Bajraktarevic;;;;;;
bosnie_herzegovine.csv;;AG, AD, MG, MO;Salzburg;19;18;185 cm;13,4 M €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Kerim Alajbegovic;;;;;;
bosnie_herzegovine.csv;;ATT, MC;Jagiellonia Białystok;9;22;186 cm;1,3 M €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Samed Bazdar;;;;;;
bosnie_herzegovine.csv;;ATT;VfB Stuttgart;10;28;184 cm;21,9 M €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Ermedin Demirovic;;;;;;
bosnie_herzegovine.csv;;ATT;Schalke 04;11;40;193 cm;951,9 k €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Edin Dzeko;;;;;;
bosnie_herzegovine.csv;;ATT;Borussia Mönchengladbach;23;31;196 cm;2,5 M €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Haris TabakovicBlessure musculaire - Mi juin 2026;;;;;;
bosnie_herzegovine.csv;;ATT;Universitatea Cluj;25;27;190 cm;799,8 k €
bosnie_herzegovine.csv;;;;;;;
bosnie_herzegovine.csv;Jovo Lukic;;;;;;
bresil.csv;;Entraineur;Italie;;66;;
bresil.csv;;;;;;;
bresil.csv;Carlo Ancelotti;;;;;;
bresil.csv;;GA;Liverpool;1;33;193 cm;13,5 M €
bresil.csv;;;;;;;
bresil.csv;Alisson Becker;;;;;;
bresil.csv;;GA;Gremio;12;38;189 cm;838,9 k €
bresil.csv;;;;;;;
bresil.csv;Weverton;;;;;;
bresil.csv;;GA;Fenerbahçe;23;32;188 cm;13,7 M €
bresil.csv;;;;;;;
bresil.csv;Ederson;;;;;;
bresil.csv;;DC;Arsenal;3;28;190 cm;79,6 M €
bresil.csv;;;;;;;
bresil.csv;Gabriel;;;;;;
bresil.csv;;DC;Paris Saint-Germain;4;32;183 cm;28,3 M €
bresil.csv;;;;;;;
bresil.csv;Marquinhos;;;;;;
bresil.csv;;DC;Flamengo;13;34;184 cm;1,6 M €
bresil.csv;;;;;;;
bresil.csv;Danilo;;;;;;
bresil.csv;;DC;Juventus;14;29;188 cm;43,7 M €
bresil.csv;;;;;;;
bresil.csv;Gleison Bremer;;;;;;
bresil.csv;;DC;Flamengo;15;30;186 cm;8,4 M €
bresil.csv;;;;;;;
bresil.csv;Léo Pereira;;;;;;
bresil.csv;;DC;Al Ahli;24;27;185 cm;12,2 M €
bresil.csv;;;;;;;
bresil.csv;Ibañez;;;;;;
bresil.csv;;DG;Flamengo;6;35;180 cm;1,1 M €
bresil.csv;;;;;;;
bresil.csv;Alex Sandro;;;;;;
bresil.csv;;DG, DC;Zenit St. Petersburg;16;32;176 cm;5,5 M €
bresil.csv;;;;;;;
bresil.csv;Douglas Santos;;;;;;
bresil.csv;;DLG, DLD, DD, MG;Roma;2;22;178 cm;32,6 M €
bresil.csv;;;;;;;
bresil.csv;Wesley;;;;;;
bresil.csv;;MD, MC;Manchester United;5;34;185 cm;6,4 M €
bresil.csv;;;;;;;
bresil.csv;Casemiro;;;;;;
bresil.csv;;MD, MC, DC;Al Ittihad;17;32;188 cm;8,7 M €
bresil.csv;;;;;;;
bresil.csv;Fabinho;;;;;;
bresil.csv;;MD, MC, MO;Botafogo RJ;18;25;176 cm;24,7 M €
bresil.csv;;;;;;;
bresil.csv;Danilo;;;;;;
bresil.csv;;MC, MD;Newcastle United;8;28;182 cm;70,1 M €
bresil.csv;;;;;;;
bresil.csv;Bruno Guimarães;;;;;;
bresil.csv;;MO, AD, MC, MD, ATT;Flamengo;20;28;180 cm;50,2 M €
bresil.csv;;;;;;;
bresil.csv;Lucas Paquetá;;;;;;
bresil.csv;;AD, ATT;Lyon;19;19;173 cm;39,1 M €
bresil.csv;;;;;;;
bresil.csv;Endrick;;;;;;
bresil.csv;;AD, AG, ATT, MO;Zenit St. Petersburg;21;25;182 cm;22,7 M €
bresil.csv;;;;;;;
bresil.csv;Luiz Henrique;;;;;;
bresil.csv;;AD, ATT;AFC Bournemouth;26;19;186 cm;24,6 M €
bresil.csv;;;;;;;
bresil.csv;Rayan;;;;;;
bresil.csv;;AG, ATT, MG;Real Madrid;7;25;177 cm;100,5 M €
bresil.csv;;;;;;;
bresil.csv;Vinícius Júnior;;;;;;
bresil.csv;;AG, MO, ATT;Manchester United;9;27;184 cm;72,1 M €
bresil.csv;;;;;;;
bresil.csv;Matheus Cunha;;;;;;
bresil.csv;;AG, AD, MO;Barcelona;11;29;176 cm;69,6 M €
bresil.csv;;;;;;;
bresil.csv;Raphinha;;;;;;
bresil.csv;;AG;Arsenal;22;24;180 cm;49,7 M €
bresil.csv;;;;;;;
bresil.csv;Gabriel Martinelli;;;;;;
bresil.csv;;ATT, MO, AG;Santos FC;10;34;175 cm;4,5 M €
bresil.csv;;;;;;;
bresil.csv;NeymarBlessure au mollet - Mi juin 2026;;;;;;
bresil.csv;;ATT;Brentford;25;24;191 cm;31,6 M €
bresil.csv;;;;;;;
bresil.csv;Igor Thiago;;;;;;
canada.csv;;Entraineur;États-Unis;;52;;
canada.csv;;;;;;;
canada.csv;Jesse Marsch;;;;;;
canada.csv;;GA;Inter Miami CF;1;29;191 cm;1,7 M €
canada.csv;;;;;;;
canada.csv;Dayne St. Clair;;;;;;
canada.csv;;GA;Orlando City;16;32;185 cm;1 M €
canada.csv;;;;;;;
canada.csv;Maxime Crépeau;;;;;;
canada.csv;;GA;Barnsley;18;22;193 cm;654,3 k €
canada.csv;;;;;;;
canada.csv;Owen Goodman;;;;;;
canada.csv;;DD;Celtic;2;27;180 cm;8,3 M €
canada.csv;;;;;;;
canada.csv;Alistair Johnston;;;;;;
canada.csv;;DD, MD;Hajduk Split;23;22;180 cm;3,1 M €
canada.csv;;;;;;;
canada.csv;Niko Sigur;;;;;;
canada.csv;;DC;Middlesbrough;3;28;191 cm;3,5 M €
canada.csv;;;;;;;
canada.csv;Alfie Jones;;;;;;
canada.csv;;DC;FCV Dender EH;4;20;178 cm;1,7 M €
canada.csv;;;;;;;
canada.csv;Luc De Fougerolles;;;;;;
canada.csv;;DC, MD, DD;Chicago Fire FC;5;30;188 cm;1,5 M €
canada.csv;;;;;;;
canada.csv;Joel Waterman;;;;;;
canada.csv;;DC;Rangers;13;28;187 cm;2,9 M €
canada.csv;;;;;;;
canada.csv;Derek Cornelius;;;;;;
canada.csv;;DC;Nice;15;26;191 cm;1,2 M €
canada.csv;;;;;;;
canada.csv;Moïse Bombito;;;;;;
canada.csv;;DG;Bayern München;19;25;183 cm;45,3 M €
canada.csv;;;;;;;
canada.csv;Alphonso DaviesBlessure musculaire - Mi juin 2026;;;;;;
canada.csv;;DG, DD, DC, MD, MD;Toronto FC;22;31;175 cm;481 k €
canada.csv;;;;;;;
canada.csv;Richie Laryea;;;;;;
canada.csv;;MD, MC, MO, MG;Toronto FC;21;33;175 cm;507,7 k €
canada.csv;;;;;;;
canada.csv;Jonathan Osorio;;;;;;
canada.csv;;MD, MC;Anderlecht;25;22;173 cm;6,4 M €
canada.csv;;;;;;;
canada.csv;Nathan Saliba;;;;;;
canada.csv;;MC, MD;Los Angeles FC;6;27;175 cm;518,5 k €
canada.csv;;;;;;;
canada.csv;Mathieu Choinière;;;;;;
canada.csv;;MC, MD;Los Angeles FC;7;29;178 cm;5,4 M €
canada.csv;;;;;;;
canada.csv;Stephen Eustaquio;;;;;;
canada.csv;;MC, MD;Sassuolo;8;23;188 cm;19 M €
canada.csv;;;;;;;
canada.csv;Ismaël Koné;;;;;;
canada.csv;;MD, MG, AD;Villarreal;17;27;183 cm;12,8 M €
canada.csv;;;;;;;
canada.csv;Tajon Buchanan;;;;;;
canada.csv;;AG, MO, MG, DLG;Hull City;11;26;185 cm;1,4 M €
canada.csv;;;;;;;
canada.csv;Liam Millar;;;;;;
canada.csv;;AG, MD, AD, DLG;Los Angeles FC;14;26;178 cm;1,6 M €
canada.csv;;;;;;;
canada.csv;Jacob Shaffelburg;;;;;;
canada.csv;;AG, MG;Norwich City;20;25;180 cm;2 M €
canada.csv;;;;;;;
canada.csv;Ali Ahmed;;;;;;
canada.csv;;AG, MG;Tigres;26;22;171 cm;1,1 M €
canada.csv;;;;;;;
canada.csv;Marcelo FloresBlessé - Inconnu;;;;;;
canada.csv;;ATT, MO;Southampton;9;31;187 cm;2,1 M €
canada.csv;;;;;;;
canada.csv;Cyle Larin;;;;;;
canada.csv;;ATT, MO;Juventus;10;26;175 cm;36,5 M €
canada.csv;;;;;;;
canada.csv;Jonathan David;;;;;;
canada.csv;;ATT, MD;Villarreal;12;26;188 cm;8,8 M €
canada.csv;;;;;;;
canada.csv;Tani Oluwaseyi;;;;;;
canada.csv;;ATT, MO;Union St.Gilloise;24;24;196 cm;16,8 M €
canada.csv;;;;;;;
canada.csv;Promise DavidBlessure musculaire - D'un jour à l'autre;;;;;;
cap_vert.csv;;Entraineur;Cap-Vert;;56;;
cap_vert.csv;;;;;;;
cap_vert.csv;Bubista;;;;;;
cap_vert.csv;;GA;Chaves;1;40;188 cm;149,8 k €
cap_vert.csv;;;;;;;
cap_vert.csv;Vozinha;;;;;;
cap_vert.csv;;GA;Montana;12;29;186 cm;230 k €
cap_vert.csv;;;;;;;
cap_vert.csv;Márcio;;;;;;
cap_vert.csv;;GA;San Diego FC;23;25;194 cm;815,1 k €
cap_vert.csv;;;;;;;
cap_vert.csv;Carlos Dos Santos;;;;;;
cap_vert.csv;;DD, DLD, DC;Trabzonspor;24;23;180 cm;8,3 M €
cap_vert.csv;;;;;;;
cap_vert.csv;Wagner Pina;;;;;;
cap_vert.csv;;DC;Torreense;2;38;180 cm;216,7 k €
cap_vert.csv;;;;;;;
cap_vert.csv;Stopira;;;;;;
cap_vert.csv;;DC;Al Bataeh;3;31;185 cm;1,3 M €
cap_vert.csv;;;;;;;
cap_vert.csv;Diney Borges;;;;;;
cap_vert.csv;;DC;Shamrock Rovers;4;33;174 cm;50 k €
cap_vert.csv;;;;;;;
cap_vert.csv;Roberto Lopes;;;;;;
cap_vert.csv;;DC;Villarreal;5;25;188 cm;19,4 M €
cap_vert.csv;;;;;;;
cap_vert.csv;Logan Costa;;;;;;
cap_vert.csv;;DC, DD;Columbus Crew;22;31;178 cm;707,5 k €
cap_vert.csv;;;;;;;
cap_vert.csv;Steven Moreira;;;;;;
cap_vert.csv;;DC;SJK;25;26;193 cm;166,4 k €
cap_vert.csv;;;;;;;
cap_vert.csv;Kelvin Pires;;;;;;
cap_vert.csv;;DG, MD, MC;FCSB;8;28;180 cm;395,8 k €
cap_vert.csv;;;;;;;
cap_vert.csv;João Paulo;;;;;;
cap_vert.csv;;MD, MC;FC Krasnodar;6;29;190 cm;2,5 M €
cap_vert.csv;;;;;;;
cap_vert.csv;Kevin Pina;;;;;;
cap_vert.csv;;MD, MC, MO;Ludogorets Razgrad;14;26;184 cm;1,1 M €
cap_vert.csv;;;;;;;
cap_vert.csv;Deroy Duarte;;;;;;
cap_vert.csv;;MD, MC, MO, AD;Puskas FC Academy;15;29;180 cm;818 k €
cap_vert.csv;;;;;;;
cap_vert.csv;Laros Duarte;;;;;;
cap_vert.csv;;MC, MD, AD;PEC Zwolle;10;32;175 cm;389,4 k €
cap_vert.csv;;;;;;;
cap_vert.csv;Jamiro Monteiro;;;;;;
cap_vert.csv;;MC, MD, MO;Farense;16;30;171 cm;350 k €
cap_vert.csv;;;;;;;
cap_vert.csv;Yannick Semedo;;;;;;
cap_vert.csv;;MD, DG, DLD, AG, MG;Trabzonspor;13;23;170 cm;1,3 M €
cap_vert.csv;;;;;;;
cap_vert.csv;Sidny Lopes Cabral;;;;;;
cap_vert.csv;;AD, ATT;Akron Togliatti;9;24;177 cm;950 k €
cap_vert.csv;;;;;;;
cap_vert.csv;Gilson Tavares;;;;;;
cap_vert.csv;;AD, AG, MO, MG;Apollon Limassol;11;35;173 cm;260,9 k €
cap_vert.csv;;;;;;;
cap_vert.csv;Garry Rodrigues;;;;;;
cap_vert.csv;;AD, MO, MD;Vitoria de Guimaraes;18;24;180 cm;1,9 M €
cap_vert.csv;;;;;;;
cap_vert.csv;Telmo Arcanjo;;;;;;
cap_vert.csv;;AD, AG, MO, MD, ATT;Igdir FK;20;36;178 cm;118,5 k €
cap_vert.csv;;;;;;;
cap_vert.csv;Ryan Mendes;;;;;;
cap_vert.csv;;AG, MC, MO;Estrela da Amadora;7;27;176 cm;484,4 k €
cap_vert.csv;;;;;;;
cap_vert.csv;Jovane Cabral;;;;;;
cap_vert.csv;;AG, MG, AD;Omonia Nicosia;17;32;185 cm;590,2 k €
cap_vert.csv;;;;;;;
cap_vert.csv;Willy Semedo;;;;;;
cap_vert.csv;;AG, MG;Maccabi Tel Aviv;26;24;176 cm;1,1 M €
cap_vert.csv;;;;;;;
cap_vert.csv;Hélio Varela;;;;;;
cap_vert.csv;;ATT, AG;Casa Pia AC;19;25;185 cm;998 k €
cap_vert.csv;;;;;;;
cap_vert.csv;Dailon Livramento;;;;;;
cap_vert.csv;;ATT, AG;Başakşehir;21;35;184 cm;519 k €
cap_vert.csv;;;;;;;
cap_vert.csv;Nuno da Costa;;;;;;
colombie.csv;;Entraineur;Argentine;;60;;
colombie.csv;;;;;;;
colombie.csv;Néstor Lorenzo;;;;;;
colombie.csv;;GA;Atletico Nacional;1;37;183 cm;250 k €
colombie.csv;;;;;;;
colombie.csv;David Ospina;;;;;;
colombie.csv;;GA;Atlas;12;37;185 cm;588,7 k €
colombie.csv;;;;;;;
colombie.csv;Camilo Vargas;;;;;;
colombie.csv;;GA;Velez Sarsfield;24;31;196 cm;1,5 M €
colombie.csv;;;;;;;
colombie.csv;Álvaro Montero;;;;;;
